,name,count,prob,sex
609,ALFREDO,687.0,1.0,male
610,LAURALEE,10.0,1.0,female
611,EVON,33.0,0.97,female
612,KYUNG,9.0,0.56,male
613,ULA,40.0,0.95,female
614,TERRILYN,1.0,1.0,female
615,LAVONA,1.0,1.0,female
616,HERMINIA,14.0,1.0,female
617,ALLEN,561.0,0.99,male
618,SHERIDAN,31.0,0.84,female
619,ABBIE,197.0,1.0,female
620,WENDOLYN,3.0,1.0,female
621,JEROMY,13.0,1.0,male
622,EUN,24.0,0.63,female
623,MARGARETT,6.0,1.0,female
624,HILARY,315.0,0.87,female
625,MARIBETH,50.0,1.0,female
626,ALISIA,7.0,1.0,female
627,JANEAN,2.0,1.0,female
628,DENITA,15.0,1.0,female
629,GEORGE,2098.0,0.99,male
630,BRYON,24.0,1.0,male
631,DEE,491.0,0.85,female
632,RANDAL,31.0,0.97,male
633,ROBBY,122.0,0.97,male
634,DESMOND,135.0,1.0,male
635,DEMETRICE,0.0,0.0,None
636,EMERSON,102.0,0.99,male
637,ELOY,73.0,1.0,male
638,RAY,975.0,0.98,male
639,AMY,4334.0,0.99,female
640,SHERY,29.0,0.72,female
641,OZIE,2.0,0.5,female
642,TYRONE,103.0,1.0,male
643,SHERYL,209.0,1.0,female
644,KANDICE,30.0,1.0,female
645,ELIJAH,153.0,0.99,male
646,ALBERT,723.0,0.99,male
647,THERON,6.0,1.0,male
648,JEFFRY,40.0,1.0,male
649,ROSELEE,0.0,0.0,None
650,LAMONT,14.0,1.0,male
651,WILBER,33.0,1.0,male
652,COLLEN,1.0,1.0,male
653,ERNEST,147.0,0.99,male
654,SONIA,1555.0,1.0,female
655,ARLINE,18.0,1.0,female
656,RUDOLPH,28.0,1.0,male
657,RUBYE,0.0,0.0,None
658,ISAIAS,45.0,1.0,male
659,MYLES,98.0,1.0,male
660,PHILLIS,2.0,0.5,female
661,DIEGO,2270.0,1.0,male
662,AVRIL,80.0,1.0,female
663,ELNORA,0.0,0.0,None
664,FREDERIC,568.0,0.99,male
665,REGAN,96.0,0.57,female
666,HASSAN,612.0,0.99,male
667,JUDITH,750.0,1.0,female
668,NED,73.0,0.96,male
669,DANETTE,61.0,1.0,female
670,NELLA,73.0,1.0,female
671,KENDRICK,29.0,0.9,male
672,DANTE,153.0,0.98,male
673,ARLEN,25.0,0.52,female
674,BRANDON,1869.0,1.0,male
675,DIRK,213.0,1.0,male
676,RIMA,105.0,1.0,female
677,RONNY,273.0,0.99,male
678,GONZALO,493.0,1.0,male
679,BRET,88.0,0.99,male
680,PHILIP,1097.0,1.0,male
681,REATHA,4.0,1.0,female
682,MARGOT,150.0,0.99,female
683,HARLEY,92.0,0.77,male
684,REUBEN,77.0,1.0,male
685,AMOS,85.0,1.0,male
686,STUART,759.0,0.99,male
687,CHET,53.0,1.0,male
688,WESLEY,421.0,1.0,male
689,LATANYA,15.0,1.0,female
690,DIAN,149.0,0.83,female
691,SONNY,158.0,0.95,male
692,LAUREN,2937.0,1.0,female
693,THAD,24.0,1.0,male
694,ANGELIC,5.0,1.0,female
695,JAROD,19.0,0.95,male
